State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/26/2018,Parts per million,None,24,100,0.154167,0.175,9,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/27/2018,Parts per million,None,21,88,0.148333,0.164,8,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/28/2018,Parts per million,None,24,100,0.14925,0.17,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/1/2018,Parts per million,None,22,92,0.174091,0.285,1,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/2/2018,Parts per million,None,24,100,0.157,0.193,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/3/2018,Parts per million,None,22,92,0.158091,0.169,17,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/4/2018,Parts per million,None,24,100,0.155333,0.17,23,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/5/2018,Parts per million,None,22,92,0.159091,0.171,19,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/6/2018,Parts per million,None,23,96,0.149435,0.165,4,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/7/2018,Parts per million,None,22,92,0.140909,0.159,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/8/2018,Parts per million,None,24,100,0.147708,0.168,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/9/2018,Parts per million,None,22,92,0.154636,0.199,20,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/10/2018,Parts per million,None,24,100,0.165667,0.196,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/11/2018,Parts per million,None,22,92,0.155136,0.212,18,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/12/2018,Parts per million,None,24,100,0.154333,0.168,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/13/2018,Parts per million,None,21,88,0.157571,0.169,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,3/14/2018,Parts per million,None,24,100,0.154375,0.18,22,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
